Lexicon entry	PoS-tag	PoS-tag (Penn Treebank)	Annotation 1
A-film	n	NNP (Proper noun, singular)	++
AA	n	NNP (Proper noun, singular)	0
ARP	n	NNP (Proper noun, singular)	0
Afrika	n	NNP (Proper noun, singular)	0
Afrikaan	n	NNP (Proper noun, singular)	0
Agalev	n	NNP (Proper noun, singular)	0
Agnus Dei	n	NNP (Proper noun, singular)	0
Ambonees	n	NNP (Proper noun, singular)	0
Amos	n	NNP (Proper noun, singular)	0
Antwerpenaar	n	NNP (Proper noun, singular)	0
Apocalyps	n	NNP (Proper noun, singular)	--
Arabisch	n	NNP (Proper noun, singular)	0
Arcadier	n	NNP (Proper noun, singular)	0
B-film	n	NNP (Proper noun, singular)	--
B.O.M.	n	NNP (Proper noun, singular)	?
BLEU	n	NNP (Proper noun, singular)	0
BM	n	NNP (Proper noun, singular)	0
BOB	n	NNP (Proper noun, singular)	0
Bar.	n	NNP (Proper noun, singular)	?
Baruch	n	NNP (Proper noun, singular)	0
Bask	n	NNP (Proper noun, singular)	0
Bataaf	n	NNP (Proper noun, singular)	0
Bourgondier	n	NNP (Proper noun, singular)	0
Brabander	n	NNP (Proper noun, singular)	+
CDA	n	NNP (Proper noun, singular)	0
CFK	n	NNP (Proper noun, singular)	-
CPN	n	NNP (Proper noun, singular)	0
CRI	n	NNP (Proper noun, singular)	0
CVP	n	NNP (Proper noun, singular)	0
Ceres	n	NNP (Proper noun, singular)	0
Christus	n	NNP (Proper noun, singular)	0
Christuskop	n	NNP (Proper noun, singular)	-
Christuslegende	n	NNP (Proper noun, singular)	0
Cleresie	n	NNP (Proper noun, singular)	0
Congo	n	NNP (Proper noun, singular)	0
Congreslid	n	NNP (Proper noun, singular)	0
Demeter	n	NNP (Proper noun, singular)	0
E.G.A.	n	NNP (Proper noun, singular)	?
EEG	n	NNP (Proper noun, singular)	0
EG	n	NNP (Proper noun, singular)	0
Eerste-Kamerlid	n	NNP (Proper noun, singular)	0
Fiom	n	NNP (Proper noun, singular)	0
Flevolander	n	NNP (Proper noun, singular)	0
Fortuna	n	NNP (Proper noun, singular)	+
Fries	n	NNP (Proper noun, singular)	0
Genesis	n	NNP (Proper noun, singular)	0
Godslam	n	NNP (Proper noun, singular)	--
Hagenaar	n	NNP (Proper noun, singular)	0
Hathor	n	NNP (Proper noun, singular)	?
Hector	n	NNP (Proper noun, singular)	0
Hemelvaartsdag	n	NNP (Proper noun, singular)	0
Hermes	n	NNP (Proper noun, singular)	0
Hogerhuislid	n	NNP (Proper noun, singular)	0
Hollander	n	NNP (Proper noun, singular)	0
Hydra	n	NNP (Proper noun, singular)	-
Inka	n	NNP (Proper noun, singular)	0
Interpol	n	NNP (Proper noun, singular)	0
Isis	n	NNP (Proper noun, singular)	0
Janus	n	NNP (Proper noun, singular)	0
Januskop	n	NNP (Proper noun, singular)	-
Jeremia	n	NNP (Proper noun, singular)	0
Jesaja	n	NNP (Proper noun, singular)	0
Jezus	n	NNP (Proper noun, singular)	0
KVP	n	NNP (Proper noun, singular)	0
Kanaaniet	n	NNP (Proper noun, singular)	0
Kaukasier	n	NNP (Proper noun, singular)	0
Kopt	n	NNP (Proper noun, singular)	0
Kreeft	n	NNP (Proper noun, singular)	0
Kretenzer	n	NNP (Proper noun, singular)	0
Lacedaemonier	n	NNP (Proper noun, singular)	0
Leda	n	NNP (Proper noun, singular)	?
Lier	n	NNP (Proper noun, singular)	0
Limbo	n	NNP (Proper noun, singular)	0
Limburger	n	NNP (Proper noun, singular)	0
Londenaar	n	NNP (Proper noun, singular)	0
Luikenaar	n	NNP (Proper noun, singular)	0
Luxemburger	n	NNP (Proper noun, singular)	0
MBD	n	NNP (Proper noun, singular)	?
MOB	n	NNP (Proper noun, singular)	?
Madrileen	n	NNP (Proper noun, singular)	0
Marialegende	n	NNP (Proper noun, singular)	0
Menelaos	n	NNP (Proper noun, singular)	?
Mevr.	n	NNP (Proper noun, singular)	0
Moloch	n	NNP (Proper noun, singular)	0
Namenaar	n	NNP (Proper noun, singular)	0
Neptunusvork	n	NNP (Proper noun, singular)	0
Newyorker	n	NNP (Proper noun, singular)	0
Normandier	n	NNP (Proper noun, singular)	0
Odysseus	n	NNP (Proper noun, singular)	+
Oranje	n	NNP (Proper noun, singular)	0
Pentateuch	n	NNP (Proper noun, singular)	0
Pietje	n	NNP (Proper noun, singular)	0
Pluto	n	NNP (Proper noun, singular)	0
Polynesisch	n	NNP (Proper noun, singular)	0
Prometheus	n	NNP (Proper noun, singular)	0
Pyreneeer	n	NNP (Proper noun, singular)	0
RL	n	NNP (Proper noun, singular)	?
ROSSEM	n	NNP (Proper noun, singular)	?
RPF	n	NNP (Proper noun, singular)	0
RUU	n	NNP (Proper noun, singular)	0
Redder	n	NNP (Proper noun, singular)	++
Romein	n	NNP (Proper noun, singular)	0
Ruslandkenner	n	NNP (Proper noun, singular)	0
Saks	n	NNP (Proper noun, singular)	0
Sardinier	n	NNP (Proper noun, singular)	0
Schorpioen	n	NNP (Proper noun, singular)	0
Siberier	n	NNP (Proper noun, singular)	0
Sint	n	NNP (Proper noun, singular)	0
Sint-	n	NNP (Proper noun, singular)	0
Slavisch	n	NNP (Proper noun, singular)	0
St.	n	NNP (Proper noun, singular)	0
St.-	n	NNP (Proper noun, singular)	+
Statenbijbel	n	NNP (Proper noun, singular)	0
Statiaan	n	NNP (Proper noun, singular)	?
Stier	n	NNP (Proper noun, singular)	0
T-kruising	n	NNP (Proper noun, singular)	0
T.H.	n	NNP (Proper noun, singular)	?
Tory	n	NNP (Proper noun, singular)	0
Tweede-Kamerlid	n	NNP (Proper noun, singular)	0
Tweelingen	n	NNP (Proper noun, singular)	0
U.D.C.	n	NNP (Proper noun, singular)	?
UNESCO	n	NNP (Proper noun, singular)	0
VNV	n	NNP (Proper noun, singular)	?
VTM	n	NNP (Proper noun, singular)	?
Verenigde Naties	n	NNP (Proper noun, singular)	0
Verlichting	n	NNP (Proper noun, singular)	+
Vissen	n	NNP (Proper noun, singular)	0
Vulcanus	n	NNP (Proper noun, singular)	0
Waterlander	n	NNP (Proper noun, singular)	0
Waterman	n	NNP (Proper noun, singular)	0
Wener	n	NNP (Proper noun, singular)	0
ZWO	n	NNP (Proper noun, singular)	?
aai	n	NN (Noun, singular or mass)	+
aanbaksel	n	NN (Noun, singular or mass)	--
aanbellen	v	VB (Verb, base form)	0
aanbevelen	v	VB (Verb, base form)	++
aanbeveling	n	NN (Noun, singular or mass)	0
aanbidden	v	VB (Verb, base form)	+
aanbidder	n	NN (Noun, singular or mass)	++
aanbieden	v	VB (Verb, base form)	+
aanbranden	v	VB (Verb, base form)	-
aandoening	n	NN (Noun, singular or mass)	-
aandringen	v	VB (Verb, base form)	0
aandurven	v	VB (Verb, base form)	+
aanfluiting	n	NN (Noun, singular or mass)	-
aangeklaagde	n	NN (Noun, singular or mass)	--
aangelegd	a	JJ (Adjective)	0
aangenaam	a	JJ (Adjective)	++
aangeslagen	a	JJ (Adjective)	-
aangeven	v	VB (Verb, base form)	+
aanhangen	v	VB (Verb, base form)	0
aanhanger	n	NN (Noun, singular or mass)	0
aanhankelijk	a	JJ (Adjective)	-
aanhouden	v	VB (Verb, base form)	0
aanhoudend	a	JJ (Adjective)	-
aanhouder	n	NN (Noun, singular or mass)	+
aankleding	n	NN (Noun, singular or mass)	+
aankloppen	v	VB (Verb, base form)	+
aankomen	v	VB (Verb, base form)	0
aanleg	n	NN (Noun, singular or mass)	++
aanleveren	v	VB (Verb, base form)	0
aanliggen	v	VB (Verb, base form)	0
aanloopmoeilijkheden	n	NNS (Noun, plural)	0
aanmaken	v	VB (Verb, base form)	0
aanmatigend	a	JJ (Adjective)	--
aanmerkelijk	a	JJ (Adjective)	0
aanmodderen	v	VB (Verb, base form)	--
aanmoedigen	v	VB (Verb, base form)	+
aanmoediging	n	NN (Noun, singular or mass)	+
aannemer	n	NN (Noun, singular or mass)	0
aanpassen	v	VB (Verb, base form)	0
aanpassingsvermogen	n	NN (Noun, singular or mass)	+
aanpezen	v	VB (Verb, base form)	+
aanpoten	v	VB (Verb, base form)	+
aanranding	n	NN (Noun, singular or mass)	-
aanreiken	v	VB (Verb, base form)	0
aanschaffen	v	VB (Verb, base form)	+
aanschellen	v	VB (Verb, base form)	0
aanschrijven	v	VB (Verb, base form)	0
aanslibbing	n	NN (Noun, singular or mass)	0
aansluiten	v	VB (Verb, base form)	+
aansporen	v	VB (Verb, base form)	+
aanspraak	n	NN (Noun, singular or mass)	+
aansprakelijk	a	JJ (Adjective)	-
aansprakelijkheid	n	NN (Noun, singular or mass)	0
aanspreken	v	VB (Verb, base form)	0
aansteken	v	VB (Verb, base form)	0
aanstelling	n	NN (Noun, singular or mass)	+
aanstichter	n	NN (Noun, singular or mass)	-
aanstichting	n	NN (Noun, singular or mass)	0
aanstoker	n	NN (Noun, singular or mass)	-
aanstoot	n	NN (Noun, singular or mass)	-
aanstootgevend	a	JJ (Adjective)	--
aantekening	n	NN (Noun, singular or mass)	0
aantikken	v	VB (Verb, base form)	0
aantonen	v	VB (Verb, base form)	0
aantoonbaar	a	JJ (Adjective)	++
aantreden	v	VB (Verb, base form)	0
aantrekkelijk	a	JJ (Adjective)	++
aantrekken	v	VB (Verb, base form)	+
aantrekking	n	NN (Noun, singular or mass)	0
aantrekkingskracht	n	NN (Noun, singular or mass)	+
aanvaard	a	JJ (Adjective)	++
aanvaarden	v	VB (Verb, base form)	+
aanvaarding	n	NN (Noun, singular or mass)	0
aanval	n	NN (Noun, singular or mass)	-
aanvaller	n	NN (Noun, singular or mass)	-
aanvang	n	NN (Noun, singular or mass)	0
aanvechtbaar	a	JJ (Adjective)	-
aanvulling	n	NN (Noun, singular or mass)	+
aanwezig	a	JJ (Adjective)	+
aanwijsbaar	a	JJ (Adjective)	+
aanwijsstok	n	NN (Noun, singular or mass)	0
aanwijzen	v	VB (Verb, base form)	0
aanwonenden	n	NNS (Noun, plural)	0
aanzetten	v	VB (Verb, base form)	-
aanzetter	n	NN (Noun, singular or mass)	0
aanzien	n	NN (Noun, singular or mass)	++
aanzienlijk	a	JJ (Adjective)	+
aanzijn	n	NN (Noun, singular or mass)	0
aanzuiveren	v	VB (Verb, base form)	0
aap	n	NN (Noun, singular or mass)	0
aapje	n	NN (Noun, singular or mass)	0
aardappelveld	n	NN (Noun, singular or mass)	0
aardbeienbed	n	NN (Noun, singular or mass)	0
aardig	a	JJ (Adjective)	++
aardigheid	n	NN (Noun, singular or mass)	++
aardlaag	n	NN (Noun, singular or mass)	0
aardrijkskundige	n	NN (Noun, singular or mass)	0
aardstraal	n	NN (Noun, singular or mass)	0
aas	n	NN (Noun, singular or mass)	-
abdiceren	v	VB (Verb, base form)	-
aberratie	n	NN (Noun, singular or mass)	-
abnormaal	a	JJ (Adjective)	+
abnormaliteit	n	NN (Noun, singular or mass)	--
abominabel	a	JJ (Adjective)	++
abonneren	v	VB (Verb, base form)	0
abrupt	a	JJ (Adjective)	0
absurd	a	JJ (Adjective)	--
absurditeit	n	NN (Noun, singular or mass)	--
academisme	n	NN (Noun, singular or mass)	-
acaricide	n	NN (Noun, singular or mass)	?
accentueren	v	VB (Verb, base form)	+
accepteren	v	VB (Verb, base form)	+
accolade	n	NN (Noun, singular or mass)	0
accommoderen	v	VB (Verb, base form)	+
accuraat	a	JJ (Adjective)	++
accuratesse	n	NN (Noun, singular or mass)	++
ace	n	NN (Noun, singular or mass)	0
achtbaar	a	JJ (Adjective)	++
achteloos	a	JJ (Adjective)	--
achtenswaard	a	JJ (Adjective)	++
achtenswaardig	a	JJ (Adjective)	+
achteraanrennen	v	VB (Verb, base form)	-
achterbaks	a	JJ (Adjective)	--
achterblijfster	n	NN (Noun, singular or mass)	-
achterblijvende	n	NN (Noun, singular or mass)	0
achterblijver	n	NN (Noun, singular or mass)	-
achterdocht	n	NN (Noun, singular or mass)	--
achterdochtig	a	JJ (Adjective)	--
achtergrondmuziek	n	NN (Noun, singular or mass)	0
achterhersenen	n	NN (Noun, singular or mass)	0
achterhouden	v	VB (Verb, base form)	--
achterhuis	n	NN (Noun, singular or mass)	0
achterlijk	a	JJ (Adjective)	--
achterlijke	n	NN (Noun, singular or mass)	--
achternarijden	v	VB (Verb, base form)	0
achternazitten	v	VB (Verb, base form)	-
achterrem	n	NN (Noun, singular or mass)	0
achterstand	n	NN (Noun, singular or mass)	-
achteruit	b	RB (Adverb)	-
achteruit	n	NN (Noun, singular or mass)	-
achteruitgaan	v	VB (Verb, base form)	-
achteruitrijden	v	VB (Verb, base form)	0
achteruitschuiven	v	VB (Verb, base form)	0
achteruitslaan	v	VB (Verb, base form)	0
achteruitwijken	v	VB (Verb, base form)	-
achteruitzetten	v	VB (Verb, base form)	0
achtervolgen	v	VB (Verb, base form)	-
achting	n	NN (Noun, singular or mass)	-
acidhouse	n	NN (Noun, singular or mass)	0
acteursfilm	n	NN (Noun, singular or mass)	0
actief	a	JJ (Adjective)	++
actieveling	n	NN (Noun, singular or mass)	+
activa	n	NN (Noun, singular or mass)	0
activum	n	NN (Noun, singular or mass)	0
acuut	a	JJ (Adjective)	0
addict	n	NN (Noun, singular or mass)	-
adembenemend	a	JJ (Adjective)	++
adept	n	NN (Noun, singular or mass)	+
aderlaten	v	VB (Verb, base form)	0
adherent	a	JJ (Adjective)	?
adherent	n	NN (Noun, singular or mass)	0
adhesie	n	NN (Noun, singular or mass)	0
adstructie	n	NN (Noun, singular or mass)	-
adult	a	JJ (Adjective)	0
advies	n	NN (Noun, singular or mass)	+
adviescommissie	n	NN (Noun, singular or mass)	0
adviseren	v	VB (Verb, base form)	0
adviseur	n	NN (Noun, singular or mass)	0
advocaat	n	NN (Noun, singular or mass)	0
aeroliet	n	NN (Noun, singular or mass)	0
af	a	JJ (Adjective)	+
afbeelding	n	NN (Noun, singular or mass)	0
afblijven	v	VB (Verb, base form)	-
afbluffen	v	VB (Verb, base form)	0
afbreken	v	VB (Verb, base form)	-
afdanken	v	VB (Verb, base form)	-
afdekken	v	VB (Verb, base form)	0
afdeling	n	NN (Noun, singular or mass)	0
afdelingszuster	n	NN (Noun, singular or mass)	0
afdingen	v	VB (Verb, base form)	0
afdoen	v	VB (Verb, base form)	-
afdrijven	v	VB (Verb, base form)	0
afdruipen	v	VB (Verb, base form)	-
afdwingen	v	VB (Verb, base form)	-
affectief	a	JJ (Adjective)	+
affiniteit	n	NN (Noun, singular or mass)	+
affirmatie	n	NN (Noun, singular or mass)	+
affreus	a	JJ (Adjective)	?
afgelasting	n	NN (Noun, singular or mass)	0
afgeleefd	a	JJ (Adjective)	--
afgemat	a	JJ (Adjective)	0
afgesleten	a	JJ (Adjective)	-
afgevallene	n	NN (Noun, singular or mass)	-
afgeven	v	VB (Verb, base form)	0
afgezaagd	a	JJ (Adjective)	--
afgodendienst	n	NN (Noun, singular or mass)	0
afgoderij	n	NN (Noun, singular or mass)	-
afgrijselijk	a	JJ (Adjective)	--
afgrijzen	n	NN (Noun, singular or mass)	--
afgrond	n	NN (Noun, singular or mass)	-
afkeer	n	NN (Noun, singular or mass)	--
afkerig	a	JJ (Adjective)	--
afkeuren	v	VB (Verb, base form)	--
afkeuring	n	NN (Noun, singular or mass)	--
afkletsen	v	VB (Verb, base form)	--
afknijpen	v	VB (Verb, base form)	--
afkomen	v	VB (Verb, base form)	0
afkrabbelen	v	VB (Verb, base form)	-
aflaat	n	NN (Noun, singular or mass)	+
aflaatbrief	n	NN (Noun, singular or mass)	0
aflakken	v	VB (Verb, base form)	0
afleiden	v	VB (Verb, base form)	0
afleiding	n	NN (Noun, singular or mass)	-
afleveringstermijn	n	NN (Noun, singular or mass)	0
aflossing	n	NN (Noun, singular or mass)	0
aflossingstermijn	n	NN (Noun, singular or mass)	0
afmonsteren	v	VB (Verb, base form)	-
afnemen	v	VB (Verb, base form)	-
afnemer	n	NN (Noun, singular or mass)	0
afnokken	v	VB (Verb, base form)	-
afpersen	v	VB (Verb, base form)	--
afpersing	n	NN (Noun, singular or mass)	--
afpraten	v	VB (Verb, base form)	0
afprijzen	v	VB (Verb, base form)	--
afreizen	v	VB (Verb, base form)	0
afrekenen	v	VB (Verb, base form)	0
afroepkracht	n	NN (Noun, singular or mass)	0
afrolook	n	NN (Noun, singular or mass)	0
afrukken	v	VB (Verb, base form)	0
afschaffen	v	VB (Verb, base form)	0
afscheiden	v	VB (Verb, base form)	0
afscheuring	n	NN (Noun, singular or mass)	-
afschrikken	v	VB (Verb, base form)	-
afschuiven	v	VB (Verb, base form)	-
afschuw	n	NN (Noun, singular or mass)	--
afschuwelijk	a	JJ (Adjective)	--
afschuwwekkend	a	JJ (Adjective)	--
afslaan	v	VB (Verb, base form)	--
afsluiten	v	VB (Verb, base form)	0
afsnoeien	v	VB (Verb, base form)	0
afsplitsen	v	VB (Verb, base form)	0
afspoelen	v	VB (Verb, base form)	0
afstaan	v	VB (Verb, base form)	0
afstamming	n	NN (Noun, singular or mass)	0
afstand	n	NN (Noun, singular or mass)	-
afstandsbesturing	n	NN (Noun, singular or mass)	0
afstapje	n	NN (Noun, singular or mass)	0
afstemmen	v	VB (Verb, base form)	0
afstevenen	v	VB (Verb, base form)	0
afstotelijk	a	JJ (Adjective)	--
afstotend	a	JJ (Adjective)	--
afstraffing	n	NN (Noun, singular or mass)	-
afstropen	v	VB (Verb, base form)	-
aftaaien	v	VB (Verb, base form)	-
aftrekken	v	VB (Verb, base form)	0
afval	n	NN (Noun, singular or mass)	-
afvallige	n	NN (Noun, singular or mass)	--
afvaren	v	VB (Verb, base form)	0
afwasser	n	NN (Noun, singular or mass)	-
afwezige	n	NN (Noun, singular or mass)	-
afwijken	v	VB (Verb, base form)	-
afwijzen	v	VB (Verb, base form)	--
afwijzing	n	NN (Noun, singular or mass)	-
afwissen	v	VB (Verb, base form)	0
afz.	n	NN (Noun, singular or mass)	0
afzakken	v	VB (Verb, base form)	-
afzenden	v	VB (Verb, base form)	0
afzender	n	NN (Noun, singular or mass)	0
afzetten	v	VB (Verb, base form)	--
afzetting	n	NN (Noun, singular or mass)	-
afzien	v	VB (Verb, base form)	--
afzoeken	v	VB (Verb, base form)	0
afzonderen	v	VB (Verb, base form)	-
afzweren	v	VB (Verb, base form)	+
agens	n	NN (Noun, singular or mass)	0
agentschap	n	NN (Noun, singular or mass)	0
agitatie	n	NN (Noun, singular or mass)	--
agitator	n	NN (Noun, singular or mass)	--
agnosticus	n	NN (Noun, singular or mass)	0
agrarier	n	NN (Noun, singular or mass)	0
agreatie	n	NN (Noun, singular or mass)	?
agressie	n	NN (Noun, singular or mass)	--
agressief	a	JJ (Adjective)	--
agressieveling	n	NN (Noun, singular or mass)	--
agressiviteit	n	NN (Noun, singular or mass)	-
agressor	n	NN (Noun, singular or mass)	--
agricultuur	n	NN (Noun, singular or mass)	0
aimabel	a	JJ (Adjective)	+
akkerland	n	NN (Noun, singular or mass)	0
akkoord	n	NN (Noun, singular or mass)	+
alarm	n	NN (Noun, singular or mass)	0
alarmcentrale	n	NN (Noun, singular or mass)	0
alarmerend	a	JJ (Adjective)	--
alarmsysteem	n	NN (Noun, singular or mass)	0
alchemist	n	NN (Noun, singular or mass)	0
alchimist	n	NN (Noun, singular or mass)	-
alcoholvergiftiging	n	NN (Noun, singular or mass)	0
aleatoir	a	JJ (Adjective)	?
alfa	n	NN (Noun, singular or mass)	0
algeheel	a	JJ (Adjective)	+
alias	n	NN (Noun, singular or mass)	0
alibi	n	NN (Noun, singular or mass)	-
alimentatie	n	NN (Noun, singular or mass)	0
alkannine	n	NN (Noun, singular or mass)	?
all right	a	JJ (Adjective)	++
all-riskdekking	n	NN (Noun, singular or mass)	0
alledaags	a	JJ (Adjective)	-
alleen	a	JJ (Adjective)	-
alleenstaand	a	JJ (Adjective)	0
allerbest	a	JJS (Adjective, superlative)	++
allergrootst	a	JJS (Adjective, superlative)	++
allerminst	b	JJS (Adjective, superlative)	-
alles	n	NN (Noun, singular or mass)	+
alleskunner	n	NN (Noun, singular or mass)	++
allochtoon	n	NN (Noun, singular or mass)	-
allright	a	JJ (Adjective)	++
allriskdekking	n	NN (Noun, singular or mass)	0
allrounder	n	NN (Noun, singular or mass)	++
allure	n	NN (Noun, singular or mass)	++
almachtig	a	JJ (Adjective)	++
altaardoek	n	NN (Noun, singular or mass)	0
altazimut	n	NN (Noun, singular or mass)	?
alternatief	a	JJ (Adjective)	0
altruist	n	NN (Noun, singular or mass)	++
altruistisch	a	JJ (Adjective)	++
altruïst	n	NN (Noun, singular or mass)	++
altruïstisch	a	JJ (Adjective)	++
alzijdig	a	JJ (Adjective)	?
amalgameren	v	VB (Verb, base form)	0
amant	n	NN (Noun, singular or mass)	+
amateur	n	NN (Noun, singular or mass)	--
amateuristisch	a	JJ (Adjective)	--
ambassadeur	n	NN (Noun, singular or mass)	+
ambiance	n	NN (Noun, singular or mass)	++
ambitieus	a	JJ (Adjective)	++
ambivalentie	n	NN (Noun, singular or mass)	-
ambiëren	v	VB (Verb, base form)	+
ambtenaar	n	NN (Noun, singular or mass)	-
amfoor	n	NN (Noun, singular or mass)	0
amice	n	NN (Noun, singular or mass)	?
amnestie	n	NN (Noun, singular or mass)	+
amoreel	a	JJ (Adjective)	--
amusant	a	JJ (Adjective)	++
amusement	n	NN (Noun, singular or mass)	++
amuseren	v	VB (Verb, base form)	+
anakoesie	n	NN (Noun, singular or mass)	?
analfabeet	n	NN (Noun, singular or mass)	-
analyticus	n	NN (Noun, singular or mass)	0
anarchie	n	NN (Noun, singular or mass)	-
anarchisme	n	NN (Noun, singular or mass)	-
anarchist	n	NN (Noun, singular or mass)	-
anarcho-syndicalisme	n	NN (Noun, singular or mass)	0
anders	a	JJ (Adjective)	-
andersdenkende	n	NN (Noun, singular or mass)	0
andragoloog	n	NN (Noun, singular or mass)	0
anemisch	a	JJ (Adjective)	0
anesthesie	n	NN (Noun, singular or mass)	0
angel	n	NN (Noun, singular or mass)	-
anglofiel	n	NN (Noun, singular or mass)	0
angst	n	NN (Noun, singular or mass)	--
angsthaas	n	NN (Noun, singular or mass)	--
angstig	a	JJ (Adjective)	--
angstvallig	a	JJ (Adjective)	--
angstwekkend	a	JJ (Adjective)	--
animeermeisje	n	NN (Noun, singular or mass)	-
animeren	v	VB (Verb, base form)	+
animositeit	n	NN (Noun, singular or mass)	+
anjelier	n	NN (Noun, singular or mass)	0
ankerplaats	n	NN (Noun, singular or mass)	0
annotatie	n	NN (Noun, singular or mass)	0
anomalie	n	NN (Noun, singular or mass)	-
antagonisme	n	NN (Noun, singular or mass)	--
antagonist	n	NN (Noun, singular or mass)	-
anti	n	NN (Noun, singular or mass)	--
anti-radarsysteem	n	NN (Noun, singular or mass)	-
anti-raketraket	n	NN (Noun, singular or mass)	--
anti-tankraket	n	NN (Noun, singular or mass)	0
anticonceptiemiddel	n	NN (Noun, singular or mass)	0
anticonceptiepil	n	NN (Noun, singular or mass)	0
anticonceptivum	n	NN (Noun, singular or mass)	0
antidepressivum	n	NN (Noun, singular or mass)	0
antifascist	n	NN (Noun, singular or mass)	0
antilogie	n	NN (Noun, singular or mass)	?
antimilitarist	n	NN (Noun, singular or mass)	0
antipathie	n	NN (Noun, singular or mass)	--
antiraket-raket	n	NN (Noun, singular or mass)	--
antithetisch	a	JJ (Adjective)	0
antropoloog	n	NN (Noun, singular or mass)	0
antroposofie	n	NN (Noun, singular or mass)	0
apaiseren	v	VB (Verb, base form)	+
apanage	n	NN (Noun, singular or mass)	?
apart	a	JJ (Adjective)	-
apathie	n	NN (Noun, singular or mass)	--
apathisch	a	JJ (Adjective)	--
apekool	n	NN (Noun, singular or mass)	--
apepak	n	NN (Noun, singular or mass)	--
apocalyptisch	a	JJ (Adjective)	--
apollinisch	a	JJ (Adjective)	0
apologeet	n	NN (Noun, singular or mass)	0
apoloog	n	NN (Noun, singular or mass)	0
aporie	n	NN (Noun, singular or mass)	0
apotheker	n	NN (Noun, singular or mass)	0
apotheose	n	NN (Noun, singular or mass)	+
apparent	a	JJ (Adjective)	0
appelflap	n	NN (Noun, singular or mass)	-
applaudisseren	v	VB (Verb, base form)	+
appreciatie	n	NN (Noun, singular or mass)	++
apprecieren	v	VB (Verb, base form)	++
approberen	v	VB (Verb, base form)	+
apriorisme	n	NN (Noun, singular or mass)	0
aquanaut	n	NN (Noun, singular or mass)	0
arbeid	n	NN (Noun, singular or mass)	0
arbeider	n	NN (Noun, singular or mass)	0
arbeidershuisje	n	NN (Noun, singular or mass)	0
arbeiderspartij	n	NN (Noun, singular or mass)	0
arbeiderswoning	n	NN (Noun, singular or mass)	-
arbeidsaanbod	n	NN (Noun, singular or mass)	0
arbeidsanalist	n	NN (Noun, singular or mass)	0
arbeidscontractant	n	NN (Noun, singular or mass)	0
arbeidskostentheorie	n	NN (Noun, singular or mass)	0
arbeidskracht	n	NN (Noun, singular or mass)	0
arbeidskundige	n	NN (Noun, singular or mass)	0
arbeidspotentieel	n	NN (Noun, singular or mass)	0
arbeidsproduktiviteit	n	NN (Noun, singular or mass)	0
arbeidsreserve	n	NN (Noun, singular or mass)	0
arbeidsvoorschriften	n	NNS (Noun, plural)	0
arbitragecommissie	n	NN (Noun, singular or mass)	0
arboretum	n	NN (Noun, singular or mass)	0
arbowet	n	NN (Noun, singular or mass)	0
archeoloog	n	NN (Noun, singular or mass)	0
archiefla	n	NN (Noun, singular or mass)	0
archieflade	n	NN (Noun, singular or mass)	0
argeloos	a	JJ (Adjective)	--
arglistigheid	n	NN (Noun, singular or mass)	-
argument	n	NN (Noun, singular or mass)	+
argumenteren	v	VB (Verb, base form)	+
argwaan	n	NN (Noun, singular or mass)	--
argwanend	a	JJ (Adjective)	--
arm	n	NN (Noun, singular or mass)	--
arme	n	NN (Noun, singular or mass)	-
arminiaan	n	NN (Noun, singular or mass)	0
armoe	n	NN (Noun, singular or mass)	--
armoede	n	NN (Noun, singular or mass)	--
armoedigheid	n	NN (Noun, singular or mass)	--
armoedzaaier	n	NN (Noun, singular or mass)	--
armspier	n	NN (Noun, singular or mass)	0
armzalig	a	JJ (Adjective)	--
armzaligheid	n	NN (Noun, singular or mass)	--
aromatisch	a	JJ (Adjective)	+
arrestatie	n	NN (Noun, singular or mass)	--
arresteren	v	VB (Verb, base form)	-
arriveren	v	VB (Verb, base form)	0
arrivist	n	NN (Noun, singular or mass)	0
arrogant	a	JJ (Adjective)	--
arrogantie	n	NN (Noun, singular or mass)	--
artefact	n	NN (Noun, singular or mass)	0
arteriosclerose	n	NN (Noun, singular or mass)	0
articuleren	v	VB (Verb, base form)	+
artiest	n	NN (Noun, singular or mass)	0
artiestennaam	n	NN (Noun, singular or mass)	0
artikel	n	NN (Noun, singular or mass)	0
artritis	n	NN (Noun, singular or mass)	-
artrock	n	NN (Noun, singular or mass)	0
arts	n	NN (Noun, singular or mass)	+
artsenijbereider	n	NN (Noun, singular or mass)	?
asceet	n	NN (Noun, singular or mass)	+
asiel	n	NN (Noun, singular or mass)	0
asla	n	NN (Noun, singular or mass)	0
aslade	n	NN (Noun, singular or mass)	0
aspirant-lid	n	NN (Noun, singular or mass)	0
aspirantlid	n	NN (Noun, singular or mass)	0
aspiratie	n	NN (Noun, singular or mass)	++
aspiraties	n	NNS (Noun, plural)	++
assertief	a	JJ (Adjective)	0
assignatie	n	NN (Noun, singular or mass)	?
assimileren	v	VB (Verb, base form)	-
assisteren	v	VB (Verb, base form)	+
assurantie	n	NN (Noun, singular or mass)	0
astmatisch	a	JJ (Adjective)	-
astreinte	n	NN (Noun, singular or mass)	?
astronoom	n	NN (Noun, singular or mass)	0
atelier	n	NN (Noun, singular or mass)	0
athopie	n	NN (Noun, singular or mass)	?
atomistiek	n	NN (Noun, singular or mass)	0
atoomschuilkelder	n	NN (Noun, singular or mass)	0
